ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
20001,Odisha,Cuttack,Locality_329,Villa,2,2000,493.19,0.25,2007,Unfurnished,24,11,18,10,10,High,No,Yes,"Playground, Garden, Clubhouse, Gym",East,Owner,Ready_to_Move
20002,Odisha,Bhubaneswar,Locality_179,Villa,5,3086,184.53,0.06,2005,Semi-furnished,19,10,20,2,7,Medium,Yes,No,"Playground, Pool",South,Owner,Ready_to_Move
20003,Jharkhand,Jamshedpur,Locality_366,Apartment,3,4994,361.2,0.07,2021,Furnished,1,11,4,7,6,High,Yes,Yes,"Pool, Gym, Garden, Playground, Clubhouse",South,Broker,Ready_to_Move
20004,Punjab,Ludhiana,Locality_447,Independent House,5,4244,56.36,0.01,1992,Unfurnished,24,5,33,1,7,Low,No,No,Playground,East,Owner,Ready_to_Move
20005,Rajasthan,Jaipur,Locality_26,Apartment,1,1069,55.63,0.05,1992,Unfurnished,27,26,33,5,4,Low,No,No,"Clubhouse, Pool",West,Builder,Ready_to_Move
20006,Rajasthan,Jaipur,Locality_331,Villa,2,3214,197.14,0.06,1995,Semi-furnished,19,28,30,10,5,High,Yes,Yes,Pool,West,Builder,Under_Construction
20007,Gujarat,Surat,Locality_213,Villa,2,3168,468.22,0.15,2016,Furnished,1,10,9,9,4,High,Yes,Yes,"Gym, Clubhouse, Garden, Playground",West,Builder,Under_Construction
20008,Haryana,Gurgaon,Locality_64,Apartment,4,3072,325.25,0.11,1997,Semi-furnished,5,10,28,9,1,High,No,No,"Gym, Clubhouse",North,Builder,Ready_to_Move
20009,Telangana,Warangal,Locality_64,Villa,1,4406,444.56,0.1,1991,Furnished,22,17,34,9,3,High,Yes,Yes,"Pool, Gym, Clubhouse, Playground",South,Broker,Ready_to_Move
20010,Gujarat,Ahmedabad,Locality_79,Apartment,3,2888,44.68,0.02,2012,Semi-furnished,14,30,13,7,5,High,No,No,"Playground, Pool",South,Builder,Ready_to_Move
20011,Uttar Pradesh,Lucknow,Locality_62,Villa,1,1801,488.38,0.27,2019,Unfurnished,24,26,6,10,9,Medium,No,Yes,"Playground, Gym",West,Owner,Ready_to_Move
20012,Assam,Silchar,Locality_471,Independent House,5,4540,32.32,0.01,1992,Furnished,25,21,33,4,1,Low,No,No,"Garden, Gym, Pool, Playground",North,Broker,Under_Construction
20013,Jharkhand,Jamshedpur,Locality_83,Apartment,5,2673,29.06,0.01,2013,Semi-furnished,0,14,12,4,1,Low,Yes,Yes,"Clubhouse, Gym",North,Owner,Ready_to_Move
20014,Uttarakhand,Haridwar,Locality_177,Villa,4,1760,172.69,0.1,2018,Furnished,20,22,7,5,10,Medium,No,Yes,"Playground, Pool, Clubhouse, Garden, Gym",West,Builder,Ready_to_Move
20015,Kerala,Kochi,Locality_40,Independent House,4,4527,347.77,0.08,1992,Semi-furnished,2,19,33,6,1,Low,Yes,Yes,"Pool, Clubhouse, Gym",North,Builder,Under_Construction
20016,Jharkhand,Jamshedpur,Locality_488,Apartment,1,1421,446.45,0.31,2010,Furnished,25,2,15,9,7,Low,Yes,Yes,"Pool, Gym",East,Broker,Ready_to_Move
20017,Jharkhand,Jamshedpur,Locality_53,Independent House,3,863,286.52,0.33,2020,Furnished,18,5,5,5,3,Medium,Yes,No,"Garden, Gym, Pool, Playground",South,Broker,Under_Construction
20018,Tamil Nadu,Coimbatore,Locality_464,Villa,2,3327,82.32,0.02,2011,Unfurnished,29,5,14,4,7,Medium,No,Yes,"Playground, Garden, Pool",South,Builder,Ready_to_Move
20019,Uttarakhand,Dehradun,Locality_198,Independent House,4,1274,486.08,0.38,1999,Semi-furnished,5,22,26,3,6,High,Yes,No,Garden,South,Broker,Under_Construction
20020,Bihar,Patna,Locality_150,Independent House,1,606,27.13,0.04,2023,Furnished,22,27,2,10,7,Medium,Yes,No,"Garden, Playground, Pool, Clubhouse",North,Broker,Ready_to_Move
20021,Maharashtra,Mumbai,Locality_107,Independent House,2,1446,130.12,0.09,2017,Unfurnished,5,14,8,6,3,Medium,No,No,Clubhouse,North,Builder,Under_Construction
20022,Delhi,New Delhi,Locality_192,Independent House,4,3215,33.57,0.01,1991,Semi-furnished,24,15,34,5,9,Low,No,No,Pool,North,Broker,Under_Construction
20023,Punjab,Amritsar,Locality_260,Apartment,2,1573,229.49,0.15,2003,Unfurnished,13,18,22,6,4,Medium,No,Yes,"Clubhouse, Gym, Garden, Pool",West,Broker,Under_Construction
20024,Gujarat,Surat,Locality_197,Apartment,2,3847,104.99,0.03,2003,Furnished,19,12,22,3,7,Low,No,No,"Playground, Clubhouse, Pool, Gym, Garden",South,Builder,Under_Construction
20025,Telangana,Warangal,Locality_441,Independent House,4,522,287.45,0.55,1998,Furnished,6,13,27,6,2,High,No,Yes,"Garden, Gym, Pool",South,Builder,Under_Construction
20026,West Bengal,Kolkata,Locality_158,Apartment,4,818,457.32,0.56,1996,Semi-furnished,21,23,29,3,9,Medium,No,No,Playground,West,Broker,Ready_to_Move
20027,Maharashtra,Pune,Locality_73,Independent House,5,530,98.74,0.19,1992,Furnished,9,12,33,2,5,High,No,No,"Playground, Clubhouse, Gym, Garden, Pool",South,Broker,Under_Construction
20028,Uttar Pradesh,Noida,Locality_267,Independent House,3,2610,87.35,0.03,2016,Furnished,23,23,9,4,6,High,Yes,Yes,Playground,East,Builder,Under_Construction
20029,Bihar,Patna,Locality_166,Apartment,1,851,262.61,0.31,2006,Unfurnished,2,28,19,5,9,High,Yes,Yes,Clubhouse,West,Owner,Ready_to_Move
20030,Karnataka,Mysore,Locality_378,Villa,4,4392,268.66,0.06,1991,Unfurnished,8,25,34,2,6,Medium,No,Yes,"Pool, Clubhouse, Gym",North,Broker,Ready_to_Move
20031,Assam,Silchar,Locality_329,Independent House,5,2774,231.46,0.08,2016,Unfurnished,8,3,9,9,2,Medium,Yes,No,"Clubhouse, Pool, Garden, Gym, Playground",North,Owner,Under_Construction
20032,Bihar,Patna,Locality_462,Independent House,2,2795,105.09,0.04,2011,Unfurnished,5,23,14,6,4,Medium,No,No,"Gym, Garden, Playground, Pool",South,Broker,Ready_to_Move
20033,Chhattisgarh,Raipur,Locality_196,Villa,1,1464,272.37,0.19,2023,Unfurnished,17,22,2,3,5,Low,Yes,Yes,"Playground, Pool, Clubhouse, Garden",North,Builder,Ready_to_Move
20034,Gujarat,Ahmedabad,Locality_465,Villa,4,1060,272.55,0.26,1993,Furnished,15,15,32,3,1,Medium,No,Yes,"Pool, Playground, Gym",North,Broker,Ready_to_Move
20035,Tamil Nadu,Coimbatore,Locality_305,Villa,5,4016,37.46,0.01,2005,Semi-furnished,24,20,20,5,1,Medium,No,No,Gym,West,Builder,Ready_to_Move
20036,Delhi,New Delhi,Locality_484,Independent House,2,1522,301.88,0.2,2004,Furnished,28,4,21,8,7,Medium,Yes,No,Clubhouse,North,Builder,Ready_to_Move
20037,Telangana,Hyderabad,Locality_308,Apartment,4,1198,28.27,0.02,1994,Semi-furnished,17,25,31,6,4,High,No,Yes,Clubhouse,East,Broker,Under_Construction
20038,Karnataka,Bangalore,Locality_163,Independent House,4,920,200.04,0.22,2003,Unfurnished,30,13,22,3,6,Low,Yes,No,"Playground, Garden, Clubhouse, Pool",East,Owner,Ready_to_Move
20039,Gujarat,Surat,Locality_290,Independent House,1,946,146.42,0.15,1991,Furnished,4,29,34,10,2,Medium,No,Yes,"Clubhouse, Pool, Gym, Playground",East,Builder,Under_Construction
20040,Maharashtra,Pune,Locality_124,Villa,3,3447,103.38,0.03,2019,Semi-furnished,9,11,6,3,6,Low,No,Yes,"Playground, Clubhouse, Garden, Gym",West,Builder,Under_Construction
20041,Punjab,Ludhiana,Locality_347,Independent House,1,3141,54.76,0.02,1990,Furnished,11,8,35,1,5,Medium,No,No,"Gym, Clubhouse, Playground, Garden",South,Builder,Ready_to_Move
20042,Tamil Nadu,Coimbatore,Locality_170,Independent House,5,3846,383.34,0.1,2023,Furnished,27,28,2,8,5,Low,No,No,"Garden, Clubhouse, Pool, Playground, Gym",West,Builder,Under_Construction
20043,Chhattisgarh,Bilaspur,Locality_222,Villa,4,2963,211.46,0.07,2012,Semi-furnished,6,6,13,10,10,High,Yes,No,Playground,North,Broker,Ready_to_Move
20044,Delhi,Dwarka,Locality_39,Independent House,5,1274,107.39,0.08,2005,Furnished,10,21,20,2,8,Low,Yes,No,"Playground, Clubhouse",West,Broker,Under_Construction
20045,Rajasthan,Jaipur,Locality_270,Apartment,2,1547,427.15,0.28,1995,Unfurnished,17,27,30,9,9,Medium,Yes,Yes,"Pool, Gym, Garden, Playground",North,Broker,Ready_to_Move
20046,Madhya Pradesh,Bhopal,Locality_448,Villa,5,2436,423.05,0.17,2012,Furnished,15,2,13,6,9,Low,No,Yes,"Pool, Garden",West,Broker,Ready_to_Move
20047,Uttarakhand,Dehradun,Locality_296,Independent House,5,3022,424.28,0.14,2009,Unfurnished,1,23,16,7,1,Low,Yes,Yes,"Gym, Clubhouse",West,Owner,Ready_to_Move
20048,Jharkhand,Ranchi,Locality_248,Apartment,4,3428,319.47,0.09,2014,Furnished,28,24,11,10,7,High,No,Yes,"Pool, Garden, Clubhouse, Gym, Playground",West,Broker,Ready_to_Move
20049,Assam,Guwahati,Locality_481,Villa,5,2627,208.95,0.08,2002,Semi-furnished,8,1,23,10,10,Low,Yes,Yes,"Garden, Gym, Pool, Clubhouse, Playground",North,Owner,Ready_to_Move
20050,Uttarakhand,Dehradun,Locality_133,Villa,5,1255,454.83,0.36,2004,Furnished,11,30,21,6,6,Low,Yes,Yes,"Gym, Pool, Clubhouse, Garden",West,Broker,Under_Construction
20051,Assam,Guwahati,Locality_162,Apartment,3,2877,146.79,0.05,2003,Semi-furnished,17,12,22,5,8,Medium,No,Yes,Garden,South,Owner,Ready_to_Move
20052,Jharkhand,Jamshedpur,Locality_499,Villa,4,4817,267.29,0.06,1996,Unfurnished,23,25,29,5,2,High,No,Yes,"Pool, Clubhouse",East,Owner,Ready_to_Move
20053,Bihar,Patna,Locality_462,Villa,1,4389,396.93,0.09,1995,Semi-furnished,11,11,30,1,6,High,No,No,"Playground, Pool, Clubhouse",West,Broker,Under_Construction
20054,West Bengal,Kolkata,Locality_383,Independent House,1,1755,400.02,0.23,2010,Furnished,22,21,15,8,5,Low,No,No,"Clubhouse, Garden, Pool, Playground",East,Owner,Under_Construction
20055,Tamil Nadu,Coimbatore,Locality_462,Apartment,2,2220,245.11,0.11,2020,Furnished,4,22,5,1,3,High,Yes,No,"Clubhouse, Garden",North,Broker,Ready_to_Move
20056,Delhi,New Delhi,Locality_412,Villa,1,1628,476.15,0.29,2012,Unfurnished,30,23,13,3,6,Medium,Yes,No,Pool,North,Owner,Ready_to_Move
20057,Bihar,Gaya,Locality_401,Apartment,5,1848,424.14,0.23,1995,Unfurnished,10,10,30,8,5,Medium,No,No,Garden,North,Owner,Ready_to_Move
