ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
40001,Gujarat,Ahmedabad,Locality_342,Independent House,3,3227,486.89,0.15,2008,Furnished,4,25,17,4,9,High,Yes,Yes,Garden,North,Owner,Under_Construction
40002,Rajasthan,Jaipur,Locality_285,Independent House,2,4922,177.51,0.04,1998,Semi-furnished,14,28,27,7,8,Low,Yes,No,Playground,West,Builder,Ready_to_Move
40003,Chhattisgarh,Raipur,Locality_185,Villa,3,1563,112.73,0.07,2002,Furnished,20,28,23,10,8,High,Yes,No,"Playground, Gym, Garden",West,Owner,Under_Construction
40004,Tamil Nadu,Chennai,Locality_453,Apartment,1,3279,313.48,0.1,2019,Semi-furnished,28,3,6,6,10,High,Yes,No,"Playground, Pool",East,Broker,Under_Construction
40005,Chhattisgarh,Bilaspur,Locality_2,Apartment,1,4360,357.23,0.08,2021,Furnished,11,20,4,8,7,Low,Yes,Yes,"Playground, Clubhouse, Pool",North,Builder,Under_Construction
40006,Gujarat,Surat,Locality_63,Villa,2,4486,53.92,0.01,1992,Semi-furnished,15,13,33,4,7,Medium,No,No,"Playground, Pool",East,Builder,Under_Construction
40007,Assam,Silchar,Locality_425,Villa,4,1081,14.83,0.01,2009,Furnished,2,25,16,9,1,High,Yes,No,"Pool, Clubhouse, Gym",East,Broker,Under_Construction
40008,Jharkhand,Jamshedpur,Locality_163,Independent House,4,2931,204.3,0.07,2019,Furnished,0,23,6,6,6,Medium,No,Yes,"Garden, Pool, Gym, Playground",West,Builder,Under_Construction
40009,Uttar Pradesh,Noida,Locality_461,Villa,4,2802,257.62,0.09,2018,Furnished,18,7,7,6,3,Medium,Yes,No,Garden,North,Builder,Ready_to_Move
40010,Andhra Pradesh,Vijayawada,Locality_488,Villa,1,3191,164.95,0.05,2005,Semi-furnished,8,9,20,7,2,Low,Yes,No,"Clubhouse, Pool",East,Builder,Ready_to_Move
40011,Uttar Pradesh,Lucknow,Locality_53,Villa,1,1606,419.21,0.26,2015,Semi-furnished,17,13,10,5,6,Medium,Yes,No,"Pool, Playground, Clubhouse, Garden",West,Builder,Ready_to_Move
