ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
160001,Gujarat,Ahmedabad,Locality_328,Independent House,1,3237,345.33,0.11,2003,Furnished,3,2,22,8,8,Medium,Yes,Yes,"Clubhouse, Garden, Pool, Gym, Playground",North,Broker,Under_Construction
160002,Tamil Nadu,Chennai,Locality_370,Apartment,3,1073,396.42,0.37,2022,Furnished,6,15,3,5,9,Medium,No,Yes,"Garden, Playground",West,Builder,Under_Construction
160003,Madhya Pradesh,Indore,Locality_94,Villa,4,1824,175.22,0.1,2017,Furnished,9,2,8,10,1,Low,No,Yes,"Pool, Gym, Playground, Garden",North,Broker,Under_Construction
160004,Maharashtra,Mumbai,Locality_87,Independent House,1,4834,341.03,0.07,2010,Semi-furnished,16,29,15,6,2,Low,Yes,Yes,"Gym, Clubhouse, Pool, Garden",West,Broker,Under_Construction
160005,Haryana,Gurgaon,Locality_389,Apartment,5,3066,441.17,0.14,2003,Unfurnished,13,3,22,10,2,Medium,No,No,Gym,North,Builder,Under_Construction
160006,Odisha,Bhubaneswar,Locality_41,Apartment,5,4875,32.47,0.01,2017,Unfurnished,25,10,8,7,10,Low,Yes,Yes,Clubhouse,North,Broker,Under_Construction
160007,Rajasthan,Jodhpur,Locality_310,Villa,5,627,129.77,0.21,1999,Unfurnished,22,7,26,10,1,High,Yes,Yes,"Garden, Playground, Pool, Gym",South,Broker,Ready_to_Move
160008,Uttar Pradesh,Lucknow,Locality_334,Villa,5,3292,382.71,0.12,2019,Furnished,27,2,6,2,10,Medium,Yes,No,"Clubhouse, Gym, Playground, Pool, Garden",South,Owner,Ready_to_Move
160009,Chhattisgarh,Raipur,Locality_202,Villa,2,4864,29.61,0.01,1991,Furnished,27,1,34,7,3,Low,No,Yes,"Pool, Garden",East,Broker,Under_Construction
160010,Maharashtra,Pune,Locality_156,Villa,3,2450,304.47,0.12,1996,Unfurnished,30,26,29,8,5,Medium,Yes,No,"Gym, Garden, Clubhouse",South,Owner,Ready_to_Move
160011,Odisha,Cuttack,Locality_439,Apartment,5,2548,305.58,0.12,2008,Furnished,3,1,17,9,10,High,No,No,"Playground, Garden, Pool, Clubhouse, Gym",North,Owner,Under_Construction
160012,Tamil Nadu,Chennai,Locality_249,Villa,3,1705,17.18,0.01,1993,Unfurnished,19,29,32,7,9,Medium,No,No,"Garden, Gym, Playground, Pool",North,Owner,Under_Construction
160013,Madhya Pradesh,Indore,Locality_151,Independent House,3,1423,377.9,0.27,2002,Semi-furnished,0,4,23,7,8,High,No,No,"Pool, Clubhouse, Playground, Garden",West,Owner,Under_Construction
160014,Madhya Pradesh,Bhopal,Locality_251,Independent House,1,4464,38.09,0.01,1990,Furnished,1,2,35,9,8,Low,Yes,No,"Clubhouse, Garden",North,Owner,Ready_to_Move
160015,Chhattisgarh,Raipur,Locality_117,Apartment,3,1768,468.6,0.27,2003,Unfurnished,16,30,22,1,5,Medium,Yes,Yes,"Clubhouse, Gym",East,Builder,Under_Construction
160016,Rajasthan,Jodhpur,Locality_375,Independent House,2,3427,416.64,0.12,2005,Unfurnished,11,28,20,2,9,High,No,Yes,Pool,East,Builder,Ready_to_Move
160017,Telangana,Hyderabad,Locality_457,Apartment,5,1776,84.0,0.05,2006,Unfurnished,27,23,19,4,1,Medium,No,Yes,Pool,East,Owner,Ready_to_Move
160018,Bihar,Gaya,Locality_317,Apartment,4,1880,464.98,0.25,2012,Furnished,28,22,13,4,6,Medium,No,Yes,"Gym, Garden, Playground, Clubhouse",East,Broker,Ready_to_Move
160019,Odisha,Bhubaneswar,Locality_345,Villa,3,1264,28.97,0.02,2009,Unfurnished,7,21,16,4,4,Low,No,No,"Pool, Clubhouse, Gym, Playground",North,Owner,Under_Construction
160020,Chhattisgarh,Bilaspur,Locality_475,Villa,2,4580,454.46,0.1,2007,Semi-furnished,8,2,18,3,5,High,Yes,Yes,"Pool, Clubhouse, Garden, Gym, Playground",East,Builder,Ready_to_Move
160021,Kerala,Trivandrum,Locality_424,Villa,2,3608,165.28,0.05,1994,Unfurnished,21,17,31,7,4,High,Yes,No,"Pool, Playground, Garden",South,Builder,Ready_to_Move
160022,Punjab,Ludhiana,Locality_105,Independent House,2,3013,442.31,0.15,2021,Semi-furnished,20,9,4,9,9,Low,Yes,Yes,Pool,East,Builder,Ready_to_Move
160023,Rajasthan,Jodhpur,Locality_172,Independent House,4,1352,402.61,0.3,2012,Semi-furnished,27,2,13,7,5,High,No,Yes,Garden,South,Builder,Ready_to_Move
160024,Delhi,Dwarka,Locality_190,Independent House,1,4670,136.46,0.03,2000,Furnished,5,5,25,2,2,High,No,No,Gym,East,Builder,Ready_to_Move
160025,Madhya Pradesh,Bhopal,Locality_446,Apartment,2,4403,151.77,0.03,2020,Semi-furnished,9,23,5,6,7,Medium,Yes,Yes,"Gym, Clubhouse",South,Broker,Under_Construction
160026,Jharkhand,Ranchi,Locality_23,Independent House,1,3849,242.76,0.06,2010,Unfurnished,28,15,15,6,2,Low,No,No,"Gym, Pool, Garden, Playground",South,Broker,Ready_to_Move
160027,Jharkhand,Jamshedpur,Locality_262,Apartment,3,1597,265.53,0.17,1992,Semi-furnished,20,13,33,9,2,Medium,Yes,Yes,Garden,South,Broker,Under_Construction
160028,Haryana,Faridabad,Locality_432,Apartment,5,2412,49.47,0.02,1994,Semi-furnished,7,18,31,2,8,Low,No,No,"Gym, Playground, Pool, Clubhouse",North,Owner,Ready_to_Move
160029,Chhattisgarh,Bilaspur,Locality_134,Apartment,4,3187,485.44,0.15,2006,Semi-furnished,23,24,19,10,7,Low,Yes,Yes,"Clubhouse, Garden",West,Builder,Ready_to_Move
160030,Uttarakhand,Dehradun,Locality_305,Independent House,1,2568,180.39,0.07,2013,Unfurnished,28,1,12,8,4,Medium,Yes,No,"Clubhouse, Garden, Pool, Gym",North,Builder,Under_Construction
160031,Haryana,Gurgaon,Locality_474,Apartment,3,2033,464.26,0.23,1992,Furnished,6,23,33,10,1,High,No,Yes,"Clubhouse, Garden, Playground",East,Builder,Ready_to_Move
160032,Bihar,Gaya,Locality_168,Villa,5,1528,316.81,0.21,1990,Unfurnished,10,29,35,3,6,Medium,No,No,Garden,North,Owner,Under_Construction
160033,Punjab,Ludhiana,Locality_304,Independent House,5,2497,242.54,0.1,2011,Unfurnished,26,12,14,7,10,High,Yes,Yes,Garden,East,Builder,Ready_to_Move
160034,Assam,Guwahati,Locality_7,Apartment,2,4650,132.27,0.03,2011,Furnished,25,21,14,7,7,Low,No,No,"Clubhouse, Playground, Garden, Gym, Pool",South,Owner,Under_Construction
160035,Karnataka,Mysore,Locality_233,Apartment,1,1140,95.48,0.08,2023,Semi-furnished,23,4,2,2,5,Medium,Yes,No,"Clubhouse, Playground, Pool, Gym, Garden",South,Broker,Under_Construction
160036,Tamil Nadu,Coimbatore,Locality_128,Independent House,1,2163,102.02,0.05,1991,Unfurnished,10,22,34,8,6,Medium,No,Yes,"Gym, Clubhouse",South,Owner,Under_Construction
160037,Maharashtra,Pune,Locality_127,Independent House,1,3858,334.92,0.09,2019,Semi-furnished,9,9,6,1,4,Low,Yes,No,"Pool, Gym, Clubhouse, Playground",South,Builder,Ready_to_Move
160038,Uttar Pradesh,Lucknow,Locality_477,Independent House,4,2522,182.65,0.07,1995,Furnished,14,14,30,7,3,Medium,No,No,"Gym, Garden, Playground, Pool, Clubhouse",East,Builder,Under_Construction
160039,Telangana,Warangal,Locality_71,Independent House,4,2524,481.02,0.19,1999,Semi-furnished,7,15,26,2,8,Medium,Yes,No,"Pool, Playground, Garden, Clubhouse",West,Owner,Under_Construction
160040,Gujarat,Ahmedabad,Locality_296,Villa,3,3056,38.15,0.01,2019,Semi-furnished,8,25,6,1,9,Low,No,No,"Garden, Clubhouse, Playground, Gym",West,Broker,Ready_to_Move
160041,Tamil Nadu,Coimbatore,Locality_316,Villa,4,4589,223.7,0.05,1998,Unfurnished,7,18,27,4,10,Low,Yes,No,"Clubhouse, Garden",North,Broker,Ready_to_Move
160042,Karnataka,Mangalore,Locality_434,Apartment,1,4975,291.73,0.06,1998,Unfurnished,8,28,27,2,2,High,Yes,Yes,Clubhouse,North,Builder,Under_Construction
160043,Uttar Pradesh,Noida,Locality_477,Apartment,1,1144,401.43,0.35,2001,Furnished,22,18,24,3,6,High,No,No,"Gym, Clubhouse",West,Owner,Under_Construction
160044,Telangana,Warangal,Locality_258,Apartment,1,4035,478.94,0.12,2008,Furnished,0,16,17,1,7,Low,Yes,Yes,"Clubhouse, Garden, Pool, Gym",South,Owner,Ready_to_Move
160045,Haryana,Gurgaon,Locality_176,Independent House,5,3027,489.74,0.16,2003,Unfurnished,30,12,22,10,9,High,No,No,Clubhouse,West,Owner,Under_Construction
160046,Maharashtra,Pune,Locality_261,Independent House,3,1674,103.71,0.06,1991,Unfurnished,24,24,34,2,1,Low,Yes,No,"Garden, Gym, Clubhouse, Pool",West,Broker,Under_Construction
160047,Bihar,Gaya,Locality_251,Apartment,1,1384,467.64,0.34,1997,Semi-furnished,1,29,28,4,2,Low,No,Yes,"Playground, Gym, Garden, Clubhouse, Pool",West,Builder,Under_Construction
160048,Karnataka,Mangalore,Locality_382,Villa,4,3981,167.03,0.04,2006,Unfurnished,14,14,19,7,7,Low,No,No,"Garden, Playground",North,Owner,Under_Construction
160049,Madhya Pradesh,Bhopal,Locality_87,Independent House,3,931,355.93,0.38,2004,Unfurnished,15,19,21,2,8,Low,Yes,Yes,"Gym, Playground",South,Builder,Ready_to_Move
160050,Assam,Guwahati,Locality_71,Independent House,5,4015,48.68,0.01,2016,Furnished,8,18,9,2,2,Medium,No,No,"Playground, Clubhouse, Pool",South,Broker,Ready_to_Move
160051,Rajasthan,Jaipur,Locality_390,Villa,5,2102,13.8,0.01,2022,Furnished,0,20,3,10,7,High,Yes,Yes,"Clubhouse, Gym",South,Builder,Ready_to_Move
160052,Madhya Pradesh,Indore,Locality_141,Villa,1,1795,277.44,0.15,1999,Semi-furnished,30,19,26,7,6,Medium,Yes,No,"Gym, Playground, Pool, Clubhouse",East,Broker,Under_Construction
160053,Bihar,Patna,Locality_459,Villa,5,4478,160.47,0.04,2006,Unfurnished,7,24,19,9,3,Medium,Yes,Yes,"Garden, Pool, Playground",East,Owner,Under_Construction
160054,Telangana,Hyderabad,Locality_296,Apartment,3,1141,390.82,0.34,1998,Semi-furnished,29,26,27,3,4,High,Yes,No,"Clubhouse, Pool, Garden, Playground, Gym",North,Builder,Under_Construction
160055,Kerala,Trivandrum,Locality_164,Apartment,5,3703,244.0,0.07,2019,Unfurnished,22,6,6,3,5,Medium,Yes,Yes,"Garden, Pool, Playground",South,Broker,Ready_to_Move
160056,Jharkhand,Ranchi,Locality_482,Independent House,1,4113,218.48,0.05,1999,Semi-furnished,18,13,26,2,7,Medium,No,No,"Garden, Gym, Clubhouse, Playground",West,Owner,Ready_to_Move
160057,Uttar Pradesh,Lucknow,Locality_468,Villa,2,2081,279.72,0.13,2006,Furnished,14,15,19,4,1,Low,No,No,"Garden, Pool, Gym",North,Owner,Under_Construction
160058,Delhi,New Delhi,Locality_393,Villa,4,4304,260.32,0.06,1990,Semi-furnished,29,17,35,3,9,Medium,No,Yes,Garden,South,Builder,Ready_to_Move
160059,Tamil Nadu,Coimbatore,Locality_433,Apartment,4,2318,167.18,0.07,1997,Semi-furnished,14,22,28,6,3,Medium,Yes,No,"Garden, Clubhouse, Playground",North,Builder,Under_Construction
160060,Karnataka,Mangalore,Locality_40,Villa,4,4648,127.36,0.03,2011,Furnished,5,9,14,2,8,Low,No,No,"Pool, Playground",West,Owner,Ready_to_Move
160061,Punjab,Amritsar,Locality_245,Apartment,5,2208,15.42,0.01,2023,Furnished,8,19,2,10,1,High,No,No,"Clubhouse, Playground, Garden",North,Broker,Ready_to_Move
160062,West Bengal,Durgapur,Locality_326,Independent House,5,522,334.89,0.64,2010,Semi-furnished,13,29,15,1,4,Low,No,Yes,"Clubhouse, Gym",East,Builder,Ready_to_Move
160063,Tamil Nadu,Chennai,Locality_500,Apartment,3,1423,141.69,0.1,2020,Furnished,25,7,5,6,10,Medium,Yes,No,"Gym, Playground, Garden, Pool",South,Owner,Ready_to_Move
160064,Kerala,Kochi,Locality_434,Villa,1,1381,101.25,0.07,1992,Furnished,6,18,33,9,4,High,Yes,No,Playground,East,Broker,Under_Construction
160065,Haryana,Faridabad,Locality_210,Villa,4,3300,123.45,0.04,1993,Unfurnished,25,23,32,9,1,High,No,Yes,"Playground, Garden, Pool",North,Owner,Under_Construction
160066,Bihar,Gaya,Locality_341,Apartment,4,4237,369.86,0.09,2018,Furnished,28,16,7,4,9,Low,Yes,Yes,"Playground, Clubhouse, Pool",West,Broker,Ready_to_Move
160067,Uttarakhand,Haridwar,Locality_219,Independent House,2,2660,203.28,0.08,2011,Furnished,22,3,14,1,10,Medium,Yes,Yes,"Pool, Playground, Clubhouse",South,Owner,Ready_to_Move
160068,Gujarat,Ahmedabad,Locality_34,Independent House,5,3618,87.36,0.02,1997,Semi-furnished,5,29,28,10,9,Medium,No,Yes,Garden,West,Builder,Ready_to_Move
160069,Assam,Silchar,Locality_282,Villa,2,3874,266.89,0.07,2014,Unfurnished,18,1,11,5,7,High,No,Yes,"Playground, Pool, Clubhouse",West,Builder,Ready_to_Move
160070,Kerala,Trivandrum,Locality_199,Villa,4,2952,498.96,0.17,2021,Unfurnished,3,28,4,4,10,Low,No,Yes,"Playground, Clubhouse",West,Owner,Ready_to_Move
160071,Kerala,Trivandrum,Locality_37,Independent House,5,741,489.73,0.66,2005,Unfurnished,8,14,20,4,10,High,Yes,No,Garden,South,Owner,Ready_to_Move
160072,Jharkhand,Ranchi,Locality_491,Apartment,3,4603,145.53,0.03,2010,Unfurnished,0,14,15,2,4,Low,Yes,No,Gym,East,Owner,Under_Construction
160073,Uttarakhand,Haridwar,Locality_117,Apartment,1,1433,335.41,0.23,2021,Semi-furnished,9,19,4,7,1,Low,Yes,No,"Garden, Playground, Gym, Clubhouse",North,Owner,Under_Construction
160074,Uttar Pradesh,Noida,Locality_348,Villa,5,2739,437.16,0.16,2021,Furnished,3,10,4,8,8,Low,No,No,Playground,North,Broker,Ready_to_Move
160075,Uttarakhand,Dehradun,Locality_332,Apartment,5,4913,137.92,0.03,1991,Furnished,5,2,34,3,6,Medium,No,Yes,"Pool, Garden",North,Owner,Under_Construction
160076,Bihar,Gaya,Locality_341,Apartment,2,2837,232.46,0.08,2017,Unfurnished,7,16,8,1,9,Medium,Yes,No,"Pool, Clubhouse, Playground",South,Owner,Under_Construction
160077,Tamil Nadu,Chennai,Locality_52,Independent House,4,2216,462.71,0.21,2007,Furnished,8,23,18,4,10,Medium,No,Yes,"Clubhouse, Gym, Garden, Playground, Pool",South,Builder,Ready_to_Move
