ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
120001,Bihar,Gaya,Locality_239,Apartment,3,2580,38.87,0.02,2001,Semi-furnished,4,13,24,8,2,High,No,No,"Playground, Gym, Clubhouse",South,Owner,Under_Construction
120002,Andhra Pradesh,Vijayawada,Locality_30,Villa,5,1818,249.46,0.14,2014,Furnished,5,13,11,8,3,Medium,No,Yes,Gym,West,Owner,Ready_to_Move
120003,Delhi,Dwarka,Locality_176,Villa,2,4315,305.15,0.07,2012,Semi-furnished,27,26,13,5,9,High,Yes,No,"Garden, Gym, Clubhouse, Playground, Pool",East,Owner,Under_Construction
120004,Chhattisgarh,Bilaspur,Locality_471,Villa,4,907,50.18,0.06,2014,Furnished,0,29,11,8,4,High,Yes,No,Playground,West,Broker,Under_Construction
120005,Tamil Nadu,Coimbatore,Locality_314,Villa,4,4551,21.88,0.0,2007,Furnished,4,28,18,9,8,Low,No,Yes,"Gym, Garden, Clubhouse, Playground, Pool",South,Broker,Ready_to_Move
120006,Chhattisgarh,Bilaspur,Locality_343,Apartment,2,2347,71.11,0.03,1995,Furnished,16,3,30,7,8,Medium,Yes,No,"Clubhouse, Gym, Pool",East,Owner,Ready_to_Move
120007,Gujarat,Surat,Locality_117,Villa,3,1816,109.86,0.06,2008,Unfurnished,1,1,17,5,3,High,Yes,No,"Clubhouse, Garden",North,Broker,Ready_to_Move
120008,Assam,Silchar,Locality_447,Independent House,5,1556,146.52,0.09,1997,Unfurnished,1,24,28,4,9,Low,No,No,"Playground, Garden, Clubhouse, Gym, Pool",East,Owner,Under_Construction
120009,Uttar Pradesh,Lucknow,Locality_83,Apartment,3,4412,18.69,0.0,2000,Unfurnished,22,2,25,5,1,Medium,No,Yes,"Playground, Pool, Garden",North,Owner,Under_Construction
120010,Delhi,Dwarka,Locality_201,Independent House,4,1826,431.34,0.24,2011,Semi-furnished,1,14,14,1,7,High,Yes,No,Playground,West,Owner,Under_Construction
120011,Maharashtra,Mumbai,Locality_376,Villa,5,3652,92.68,0.03,2018,Semi-furnished,0,17,7,10,2,Medium,Yes,Yes,"Gym, Playground, Clubhouse, Garden",South,Broker,Ready_to_Move
120012,Uttar Pradesh,Noida,Locality_86,Apartment,4,4459,83.87,0.02,2015,Unfurnished,25,3,10,9,4,Medium,No,Yes,Clubhouse,North,Owner,Under_Construction
120013,Tamil Nadu,Chennai,Locality_311,Independent House,2,3364,459.46,0.14,1996,Unfurnished,27,9,29,6,6,Low,Yes,No,"Garden, Playground, Gym, Clubhouse, Pool",South,Broker,Under_Construction
120014,Jharkhand,Ranchi,Locality_181,Villa,3,2992,11.75,0.0,2018,Semi-furnished,9,24,7,1,3,High,Yes,Yes,"Gym, Garden, Pool",North,Owner,Ready_to_Move
120015,Uttar Pradesh,Lucknow,Locality_275,Independent House,5,3378,41.31,0.01,2005,Unfurnished,16,30,20,1,9,High,Yes,Yes,"Pool, Clubhouse, Gym, Garden",South,Owner,Under_Construction
120016,Uttarakhand,Haridwar,Locality_68,Independent House,2,4544,118.88,0.03,2019,Unfurnished,8,5,6,5,1,Low,Yes,No,"Garden, Gym, Playground, Clubhouse",South,Owner,Ready_to_Move
120017,Chhattisgarh,Raipur,Locality_344,Apartment,4,1563,290.73,0.19,2018,Semi-furnished,11,20,7,6,10,Medium,Yes,No,"Clubhouse, Playground, Pool, Garden",West,Broker,Ready_to_Move
120018,Delhi,Dwarka,Locality_425,Independent House,2,2411,201.12,0.08,2008,Furnished,13,18,17,7,5,Low,Yes,No,Garden,South,Broker,Under_Construction
120019,Maharashtra,Pune,Locality_277,Villa,2,1150,424.23,0.37,2003,Semi-furnished,29,20,22,4,8,High,No,Yes,"Playground, Garden, Clubhouse, Gym",East,Broker,Ready_to_Move
120020,Rajasthan,Jodhpur,Locality_177,Independent House,5,3550,81.52,0.02,2012,Unfurnished,30,25,13,6,4,High,No,Yes,"Gym, Clubhouse, Garden, Playground, Pool",South,Broker,Under_Construction
120021,Haryana,Gurgaon,Locality_169,Apartment,5,701,332.78,0.47,1998,Unfurnished,7,21,27,5,6,Low,Yes,Yes,Clubhouse,East,Owner,Under_Construction
120022,Odisha,Cuttack,Locality_130,Apartment,2,4818,32.95,0.01,2003,Furnished,26,26,22,10,4,High,Yes,Yes,Garden,West,Broker,Under_Construction
120023,Kerala,Trivandrum,Locality_20,Independent House,4,4117,280.37,0.07,2002,Furnished,5,9,23,8,6,High,Yes,No,"Clubhouse, Playground, Garden, Gym, Pool",North,Builder,Under_Construction
120024,Tamil Nadu,Coimbatore,Locality_40,Villa,5,3870,119.83,0.03,2015,Furnished,29,8,10,2,5,High,Yes,No,"Playground, Garden",East,Builder,Ready_to_Move
120025,Gujarat,Ahmedabad,Locality_454,Apartment,2,4003,397.97,0.1,1996,Semi-furnished,23,19,29,7,1,High,No,Yes,"Playground, Clubhouse",North,Owner,Ready_to_Move
120026,Uttar Pradesh,Lucknow,Locality_313,Independent House,1,1113,487.05,0.44,2010,Semi-furnished,26,23,15,1,9,High,No,No,"Clubhouse, Playground, Garden",East,Builder,Under_Construction
120027,Delhi,Dwarka,Locality_342,Villa,5,1104,468.77,0.42,2019,Furnished,27,18,6,9,10,High,Yes,No,"Playground, Pool, Gym, Clubhouse",North,Builder,Under_Construction
120028,Haryana,Gurgaon,Locality_70,Apartment,2,2529,257.36,0.1,1992,Semi-furnished,29,7,33,6,1,High,Yes,No,"Gym, Playground",North,Owner,Ready_to_Move
120029,Odisha,Bhubaneswar,Locality_20,Independent House,2,3469,126.97,0.04,2012,Furnished,6,30,13,3,4,Low,No,Yes,"Clubhouse, Garden, Playground, Pool, Gym",East,Builder,Ready_to_Move
120030,Bihar,Patna,Locality_487,Apartment,2,3763,374.89,0.1,2017,Furnished,26,5,8,1,6,Medium,Yes,No,"Garden, Pool, Gym",West,Broker,Ready_to_Move
120031,Maharashtra,Nagpur,Locality_184,Apartment,3,2972,402.13,0.14,1996,Semi-furnished,18,12,29,2,8,High,Yes,No,"Garden, Clubhouse, Gym, Playground, Pool",East,Owner,Ready_to_Move
120032,Odisha,Cuttack,Locality_192,Apartment,2,502,108.54,0.22,2006,Unfurnished,20,11,19,4,5,Medium,Yes,Yes,"Pool, Gym, Garden, Playground",East,Owner,Under_Construction
120033,Rajasthan,Jodhpur,Locality_474,Apartment,4,3651,125.26,0.03,2019,Semi-furnished,4,8,6,2,8,Low,No,Yes,"Playground, Gym, Pool, Clubhouse",West,Owner,Ready_to_Move
120034,Rajasthan,Jodhpur,Locality_49,Apartment,2,3324,10.87,0.0,2013,Furnished,11,24,12,1,2,High,Yes,Yes,"Gym, Pool, Clubhouse, Garden, Playground",North,Broker,Under_Construction
120035,Maharashtra,Mumbai,Locality_316,Villa,3,3829,390.27,0.1,1993,Furnished,1,14,32,10,5,Low,No,No,"Gym, Garden, Clubhouse, Pool, Playground",East,Owner,Under_Construction
120036,Delhi,Dwarka,Locality_194,Independent House,1,3383,153.7,0.05,2003,Semi-furnished,24,7,22,6,4,Low,No,Yes,"Gym, Playground, Clubhouse, Pool, Garden",South,Broker,Ready_to_Move
120037,Uttarakhand,Dehradun,Locality_352,Independent House,1,3017,454.75,0.15,2007,Unfurnished,26,24,18,5,9,High,No,Yes,"Garden, Clubhouse, Playground",East,Builder,Ready_to_Move
