ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
80001,Punjab,Amritsar,Locality_66,Apartment,5,1471,282.92,0.19,1994,Semi-furnished,27,16,31,4,5,Low,Yes,No,"Clubhouse, Garden, Playground, Pool",East,Owner,Ready_to_Move
80002,Karnataka,Mysore,Locality_165,Independent House,2,3678,240.58,0.07,1996,Furnished,6,25,29,6,5,Medium,Yes,Yes,"Garden, Playground, Clubhouse, Pool, Gym",North,Owner,Ready_to_Move
80003,Madhya Pradesh,Bhopal,Locality_354,Apartment,3,1511,413.95,0.27,1994,Furnished,4,2,31,1,5,High,Yes,No,"Playground, Garden, Pool",South,Broker,Ready_to_Move
80004,Rajasthan,Jodhpur,Locality_132,Villa,2,1791,144.82,0.08,2014,Furnished,3,24,11,8,7,High,Yes,Yes,"Garden, Clubhouse",West,Broker,Ready_to_Move
80005,Chhattisgarh,Raipur,Locality_145,Villa,1,4815,200.21,0.04,2018,Semi-furnished,8,23,7,3,4,High,Yes,Yes,"Gym, Playground, Garden",South,Builder,Under_Construction
80006,Andhra Pradesh,Vijayawada,Locality_433,Villa,1,4624,160.6,0.03,1990,Unfurnished,9,7,35,7,4,High,Yes,No,"Garden, Pool, Gym, Playground, Clubhouse",East,Builder,Under_Construction
80007,Odisha,Cuttack,Locality_332,Independent House,5,1551,208.61,0.13,2022,Semi-furnished,10,16,3,1,10,Medium,Yes,No,"Garden, Clubhouse, Gym",East,Broker,Under_Construction
80008,Andhra Pradesh,Vijayawada,Locality_264,Villa,4,1387,290.05,0.21,2003,Furnished,25,25,22,6,3,Medium,Yes,Yes,"Clubhouse, Pool",North,Broker,Ready_to_Move
80009,Bihar,Gaya,Locality_231,Apartment,5,3116,46.73,0.01,1990,Semi-furnished,4,7,35,1,5,Medium,Yes,No,"Clubhouse, Playground, Gym, Garden",East,Owner,Ready_to_Move
80010,Bihar,Patna,Locality_263,Villa,4,2618,493.48,0.19,2014,Unfurnished,23,22,11,10,3,Low,Yes,No,"Playground, Clubhouse",East,Builder,Under_Construction
