ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
220001,Uttar Pradesh,Noida,Locality_36,Apartment,4,535,166.86,0.31,2022,Semi-furnished,16,3,3,9,6,Low,No,Yes,Clubhouse,South,Broker,Ready_to_Move
220002,Assam,Guwahati,Locality_366,Villa,1,4638,229.47,0.05,2021,Semi-furnished,24,12,4,2,10,Low,No,Yes,"Pool, Clubhouse, Gym, Garden, Playground",North,Builder,Under_Construction
220003,Chhattisgarh,Bilaspur,Locality_419,Apartment,4,3825,16.5,0.0,2009,Unfurnished,1,4,16,7,5,Low,No,Yes,"Pool, Clubhouse, Gym, Garden",North,Owner,Under_Construction
220004,Uttarakhand,Haridwar,Locality_205,Independent House,2,784,408.25,0.52,1993,Furnished,25,7,32,8,6,High,No,No,"Clubhouse, Playground, Garden, Gym",West,Builder,Under_Construction
220005,Gujarat,Ahmedabad,Locality_410,Independent House,3,810,302.0,0.37,2011,Semi-furnished,14,23,14,7,6,Medium,No,Yes,"Clubhouse, Gym, Garden, Playground",North,Owner,Ready_to_Move
220006,Andhra Pradesh,Vijayawada,Locality_415,Independent House,5,1114,364.87,0.33,1996,Semi-furnished,16,20,29,7,8,Medium,Yes,Yes,"Garden, Gym, Clubhouse",West,Builder,Under_Construction
220007,Kerala,Trivandrum,Locality_97,Villa,4,4187,222.64,0.05,2022,Unfurnished,28,20,3,6,2,High,No,Yes,"Garden, Clubhouse, Playground, Gym, Pool",North,Owner,Under_Construction
220008,Karnataka,Mysore,Locality_311,Independent House,4,4793,261.24,0.05,2017,Unfurnished,8,21,8,3,10,Low,No,Yes,"Pool, Playground, Garden",East,Owner,Under_Construction
220009,Chhattisgarh,Bilaspur,Locality_104,Apartment,4,1884,423.22,0.22,2005,Semi-furnished,17,21,20,9,6,High,No,No,"Gym, Garden, Clubhouse, Playground",North,Broker,Ready_to_Move
220010,West Bengal,Durgapur,Locality_218,Apartment,3,3729,334.07,0.09,2001,Furnished,13,6,24,3,9,Low,Yes,No,"Garden, Pool, Clubhouse, Gym",West,Builder,Ready_to_Move
220011,Madhya Pradesh,Indore,Locality_23,Independent House,1,4122,105.11,0.03,2009,Semi-furnished,12,23,16,2,4,Low,Yes,No,"Pool, Playground, Gym",East,Broker,Ready_to_Move
220012,Haryana,Faridabad,Locality_278,Apartment,2,4337,110.36,0.03,2017,Semi-furnished,14,6,8,8,6,Medium,No,No,"Garden, Playground",North,Builder,Ready_to_Move
220013,Chhattisgarh,Bilaspur,Locality_346,Independent House,3,4428,488.46,0.11,2008,Unfurnished,6,3,17,1,4,Low,Yes,Yes,Playground,East,Owner,Under_Construction
220014,Tamil Nadu,Chennai,Locality_346,Independent House,5,2219,321.87,0.15,1998,Unfurnished,1,10,27,6,7,Low,No,Yes,Gym,South,Broker,Under_Construction
220015,Karnataka,Bangalore,Locality_29,Villa,1,3973,491.52,0.12,1999,Furnished,25,16,26,2,4,Medium,No,Yes,"Pool, Garden, Clubhouse, Playground, Gym",South,Owner,Under_Construction
220016,Gujarat,Ahmedabad,Locality_128,Apartment,3,3768,478.79,0.13,2012,Unfurnished,11,8,13,9,7,Medium,Yes,Yes,"Garden, Pool, Gym",West,Broker,Under_Construction
220017,Tamil Nadu,Coimbatore,Locality_128,Independent House,2,1463,497.02,0.34,2009,Unfurnished,24,19,16,2,9,High,No,Yes,"Gym, Garden, Playground",East,Broker,Ready_to_Move
220018,Kerala,Trivandrum,Locality_9,Apartment,1,2417,499.59,0.21,2020,Furnished,20,6,5,8,6,High,Yes,Yes,"Gym, Pool",East,Builder,Under_Construction
220019,Kerala,Kochi,Locality_97,Independent House,2,724,73.37,0.1,2008,Unfurnished,1,27,17,6,10,Low,No,No,"Playground, Clubhouse, Pool, Garden",North,Owner,Ready_to_Move
220020,Maharashtra,Mumbai,Locality_253,Independent House,3,1585,123.89,0.08,1995,Semi-furnished,13,14,30,8,7,Low,Yes,Yes,"Garden, Gym, Playground, Clubhouse",North,Owner,Ready_to_Move
220021,Tamil Nadu,Chennai,Locality_368,Villa,4,3440,373.82,0.11,2003,Semi-furnished,9,15,22,2,5,Medium,Yes,No,"Gym, Pool, Garden, Playground",North,Owner,Under_Construction
220022,Telangana,Warangal,Locality_357,Independent House,4,3984,424.87,0.11,1993,Semi-furnished,15,16,32,5,6,Medium,No,No,"Pool, Garden, Playground",South,Builder,Under_Construction
220023,Andhra Pradesh,Vijayawada,Locality_353,Independent House,3,800,499.29,0.62,2008,Semi-furnished,17,8,17,10,6,Low,Yes,Yes,"Gym, Garden, Clubhouse",West,Owner,Under_Construction
220024,Uttar Pradesh,Noida,Locality_198,Villa,1,3207,62.26,0.02,2017,Unfurnished,22,22,8,7,6,Medium,Yes,Yes,Gym,East,Broker,Ready_to_Move
220025,Assam,Guwahati,Locality_270,Villa,4,2523,126.18,0.05,1998,Unfurnished,11,29,27,6,5,Medium,Yes,Yes,Pool,West,Owner,Under_Construction
220026,Assam,Silchar,Locality_207,Independent House,3,2169,38.19,0.02,2017,Furnished,3,6,8,4,4,Low,Yes,Yes,Gym,East,Builder,Under_Construction
220027,Assam,Guwahati,Locality_370,Villa,5,1598,348.46,0.22,2000,Semi-furnished,15,1,25,9,7,High,Yes,No,Playground,East,Broker,Under_Construction
220028,Chhattisgarh,Bilaspur,Locality_131,Independent House,3,3609,424.86,0.12,2009,Semi-furnished,1,27,16,8,9,Low,No,No,"Clubhouse, Gym, Garden",South,Broker,Ready_to_Move
220029,Odisha,Cuttack,Locality_199,Villa,2,3058,275.4,0.09,2014,Semi-furnished,15,4,11,7,4,Medium,No,Yes,"Pool, Playground, Garden, Clubhouse",East,Owner,Under_Construction
