ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
60001,Tamil Nadu,Coimbatore,Locality_257,Independent House,2,3821,111.35,0.03,2021,Semi-furnished,4,23,4,1,5,Low,Yes,No,"Gym, Playground, Pool, Clubhouse",North,Broker,Under_Construction
60002,Uttarakhand,Dehradun,Locality_442,Apartment,4,2444,403.95,0.17,1993,Furnished,22,18,32,5,7,Medium,Yes,Yes,"Pool, Playground",South,Broker,Under_Construction
60003,Chhattisgarh,Raipur,Locality_80,Independent House,3,3432,162.4,0.05,2007,Semi-furnished,19,12,18,10,3,Low,No,Yes,"Garden, Clubhouse, Playground",North,Broker,Under_Construction
60004,Telangana,Hyderabad,Locality_455,Villa,5,821,318.09,0.39,2009,Unfurnished,25,10,16,8,2,High,No,Yes,"Playground, Garden, Gym, Pool",North,Builder,Under_Construction
60005,Andhra Pradesh,Vijayawada,Locality_498,Villa,4,4616,175.7,0.04,1992,Furnished,5,27,33,4,3,High,No,Yes,"Playground, Clubhouse, Gym, Pool",West,Builder,Ready_to_Move
60006,Delhi,Dwarka,Locality_352,Independent House,3,2513,59.39,0.02,2003,Semi-furnished,11,23,22,5,2,Medium,No,No,"Playground, Pool, Garden, Clubhouse, Gym",West,Owner,Under_Construction
60007,Uttar Pradesh,Noida,Locality_217,Independent House,3,2507,382.01,0.15,2022,Semi-furnished,20,19,3,1,3,Low,No,Yes,"Pool, Playground, Clubhouse",East,Builder,Under_Construction
60008,West Bengal,Kolkata,Locality_29,Apartment,1,1000,307.95,0.31,2015,Furnished,27,4,10,6,8,Low,Yes,No,"Playground, Clubhouse",East,Broker,Under_Construction
60009,Jharkhand,Jamshedpur,Locality_180,Independent House,3,4758,124.63,0.03,1994,Furnished,27,24,31,8,3,Low,Yes,No,"Pool, Clubhouse, Playground",East,Broker,Ready_to_Move
60010,Kerala,Trivandrum,Locality_64,Independent House,5,1401,412.08,0.29,2008,Semi-furnished,13,10,17,10,3,High,Yes,No,Gym,North,Builder,Under_Construction
60011,Maharashtra,Mumbai,Locality_445,Villa,5,1342,38.29,0.03,2001,Semi-furnished,20,8,24,1,10,Medium,No,No,"Playground, Garden",South,Broker,Under_Construction
60012,Andhra Pradesh,Vijayawada,Locality_358,Independent House,1,1579,13.62,0.01,2008,Semi-furnished,9,30,17,7,4,High,No,No,"Playground, Garden, Gym",South,Broker,Under_Construction
60013,Rajasthan,Jaipur,Locality_85,Apartment,1,4939,392.23,0.08,1999,Semi-furnished,30,9,26,7,9,High,Yes,No,"Playground, Pool, Garden",East,Broker,Ready_to_Move
60014,Madhya Pradesh,Indore,Locality_425,Independent House,4,4626,70.64,0.02,2012,Semi-furnished,29,10,13,10,2,Low,No,No,Clubhouse,South,Broker,Ready_to_Move
60015,Odisha,Bhubaneswar,Locality_296,Independent House,2,4026,313.89,0.08,2023,Semi-furnished,11,17,2,2,4,Low,Yes,No,"Playground, Clubhouse",North,Owner,Ready_to_Move
