ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
140001,Chhattisgarh,Raipur,Locality_348,Independent House,2,2320,50.32,0.02,2012,Furnished,4,14,13,5,3,Low,No,Yes,"Gym, Garden, Playground, Pool, Clubhouse",North,Builder,Ready_to_Move
140002,Delhi,Dwarka,Locality_57,Independent House,1,3775,227.23,0.06,2011,Furnished,23,5,14,5,4,Low,Yes,Yes,"Playground, Clubhouse, Pool",North,Builder,Under_Construction
140003,Delhi,New Delhi,Locality_383,Independent House,4,1198,484.19,0.4,2014,Semi-furnished,9,28,11,8,1,Medium,Yes,Yes,Gym,East,Owner,Ready_to_Move
140004,Madhya Pradesh,Bhopal,Locality_499,Villa,3,1983,201.18,0.1,1992,Unfurnished,28,12,33,1,8,Medium,Yes,Yes,"Garden, Playground, Gym, Clubhouse",West,Owner,Under_Construction
140005,Maharashtra,Nagpur,Locality_100,Independent House,5,1772,141.39,0.08,2000,Furnished,8,4,25,5,7,High,Yes,No,Playground,North,Owner,Ready_to_Move
140006,Odisha,Bhubaneswar,Locality_348,Independent House,2,1031,488.91,0.47,2021,Furnished,19,29,4,7,4,Medium,Yes,No,"Garden, Gym, Playground, Pool",West,Builder,Ready_to_Move
140007,Kerala,Kochi,Locality_462,Villa,1,3013,312.11,0.1,2000,Semi-furnished,13,25,25,8,8,Medium,No,No,"Pool, Garden, Gym, Clubhouse, Playground",South,Owner,Under_Construction
140008,Gujarat,Surat,Locality_225,Apartment,5,2891,176.23,0.06,2014,Furnished,20,26,11,3,2,Medium,No,Yes,"Garden, Playground, Clubhouse, Pool",West,Broker,Under_Construction
140009,Karnataka,Mysore,Locality_342,Independent House,3,1614,197.58,0.12,2015,Furnished,16,16,10,6,4,Low,No,No,"Clubhouse, Gym, Pool",East,Broker,Under_Construction
140010,Jharkhand,Jamshedpur,Locality_159,Apartment,4,3736,325.02,0.09,2005,Semi-furnished,10,30,20,8,1,Medium,No,Yes,"Pool, Playground",West,Broker,Under_Construction
140011,Delhi,New Delhi,Locality_471,Apartment,4,2554,13.46,0.01,2014,Semi-furnished,22,16,11,7,9,Low,No,Yes,"Clubhouse, Pool, Playground, Gym",South,Owner,Ready_to_Move
140012,Punjab,Ludhiana,Locality_235,Independent House,5,3992,46.33,0.01,2023,Unfurnished,9,7,2,5,5,Medium,Yes,Yes,Garden,North,Broker,Ready_to_Move
