ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
100001,Kerala,Trivandrum,Locality_297,Apartment,1,3814,242.26,0.06,2001,Unfurnished,4,24,24,5,10,Low,Yes,No,Gym,North,Builder,Under_Construction
100002,Rajasthan,Jaipur,Locality_85,Independent House,2,4811,136.49,0.03,2016,Semi-furnished,7,16,9,7,8,High,Yes,No,"Gym, Playground",East,Builder,Ready_to_Move
100003,Uttar Pradesh,Lucknow,Locality_77,Villa,3,1633,411.3,0.25,1993,Unfurnished,9,12,32,7,2,Medium,No,Yes,"Garden, Clubhouse, Pool",North,Owner,Under_Construction
100004,Andhra Pradesh,Vijayawada,Locality_461,Villa,5,3555,134.66,0.04,2018,Unfurnished,2,2,7,7,4,High,Yes,No,"Clubhouse, Pool, Gym, Playground, Garden",East,Builder,Ready_to_Move
100005,Tamil Nadu,Chennai,Locality_262,Villa,3,4739,147.26,0.03,2020,Semi-furnished,24,22,5,6,8,Medium,Yes,Yes,"Garden, Playground, Clubhouse",West,Owner,Under_Construction
100006,Andhra Pradesh,Vijayawada,Locality_59,Villa,4,3304,395.88,0.12,2018,Semi-furnished,12,17,7,8,6,Medium,No,No,"Garden, Pool, Clubhouse, Gym",East,Owner,Ready_to_Move
100007,Maharashtra,Pune,Locality_423,Independent House,3,1920,287.05,0.15,2021,Furnished,1,4,4,4,10,Low,Yes,No,"Clubhouse, Pool, Playground, Gym",North,Broker,Under_Construction
100008,Telangana,Warangal,Locality_435,Independent House,4,1736,229.64,0.13,2009,Unfurnished,20,3,16,4,10,High,Yes,No,Clubhouse,East,Broker,Ready_to_Move
100009,Uttar Pradesh,Noida,Locality_445,Independent House,5,585,442.47,0.76,2019,Unfurnished,14,23,6,3,10,Low,Yes,No,"Garden, Pool, Playground",West,Owner,Under_Construction
100010,Karnataka,Mangalore,Locality_327,Villa,4,875,139.66,0.16,2002,Semi-furnished,1,4,23,7,8,High,Yes,No,"Playground, Gym, Pool",North,Builder,Ready_to_Move
100011,Gujarat,Ahmedabad,Locality_385,Independent House,4,2619,19.23,0.01,2020,Semi-furnished,26,19,5,6,5,Low,Yes,Yes,Pool,South,Builder,Ready_to_Move
100012,Madhya Pradesh,Bhopal,Locality_37,Independent House,4,4848,394.6,0.08,2003,Unfurnished,21,9,22,8,3,Medium,No,No,"Playground, Clubhouse",East,Owner,Ready_to_Move
100013,Chhattisgarh,Bilaspur,Locality_46,Independent House,1,3453,493.21,0.14,1996,Semi-furnished,6,9,29,9,9,Medium,No,Yes,"Garden, Pool, Playground, Gym",East,Builder,Ready_to_Move
100014,Rajasthan,Jaipur,Locality_114,Independent House,2,1881,472.3,0.25,1997,Furnished,8,8,28,7,9,Medium,Yes,Yes,Garden,South,Broker,Ready_to_Move
100015,Andhra Pradesh,Vijayawada,Locality_299,Villa,1,2989,242.21,0.08,2013,Furnished,19,28,12,1,10,Medium,Yes,Yes,"Pool, Clubhouse, Garden, Gym",West,Builder,Under_Construction
100016,Andhra Pradesh,Vijayawada,Locality_288,Independent House,5,4971,445.41,0.09,1992,Semi-furnished,5,1,33,10,7,Medium,Yes,No,"Pool, Clubhouse, Gym, Garden",East,Broker,Under_Construction
100017,Chhattisgarh,Bilaspur,Locality_454,Independent House,5,3696,480.44,0.13,2021,Semi-furnished,30,30,4,5,6,Low,Yes,No,"Playground, Gym",East,Builder,Ready_to_Move
100018,West Bengal,Durgapur,Locality_397,Apartment,2,2208,156.63,0.07,2014,Furnished,14,26,11,10,2,Medium,No,Yes,Garden,West,Owner,Ready_to_Move
100019,Kerala,Trivandrum,Locality_156,Villa,3,947,266.23,0.28,2023,Semi-furnished,4,17,2,4,8,Low,Yes,No,"Clubhouse, Gym, Pool, Garden",West,Broker,Ready_to_Move
100020,Karnataka,Mysore,Locality_372,Apartment,2,2356,364.94,0.15,2020,Unfurnished,28,22,5,8,1,Medium,Yes,No,"Pool, Gym, Garden, Playground",South,Builder,Ready_to_Move
100021,Andhra Pradesh,Vishakhapatnam,Locality_356,Independent House,2,4874,47.77,0.01,2011,Semi-furnished,12,7,14,3,3,High,Yes,Yes,"Garden, Clubhouse",North,Owner,Ready_to_Move
100022,Uttar Pradesh,Noida,Locality_368,Apartment,1,1786,40.81,0.02,1992,Semi-furnished,12,20,33,1,6,High,No,No,Clubhouse,South,Broker,Ready_to_Move
100023,Assam,Guwahati,Locality_282,Villa,2,2229,296.37,0.13,1999,Furnished,9,28,26,6,6,Medium,Yes,No,"Garden, Gym, Playground, Clubhouse, Pool",West,Owner,Under_Construction
100024,Rajasthan,Jodhpur,Locality_342,Apartment,5,2123,448.04,0.21,1992,Furnished,17,16,33,4,2,Medium,No,No,Gym,West,Builder,Under_Construction
100025,Kerala,Trivandrum,Locality_167,Villa,1,1461,434.71,0.3,2015,Furnished,18,6,10,2,10,Low,No,Yes,Clubhouse,North,Builder,Under_Construction
100026,Telangana,Warangal,Locality_80,Independent House,2,3375,185.66,0.06,2008,Furnished,23,5,17,5,7,Medium,Yes,Yes,"Pool, Clubhouse, Playground, Gym, Garden",South,Broker,Ready_to_Move
100027,Telangana,Hyderabad,Locality_204,Independent House,4,1741,314.12,0.18,1991,Semi-furnished,22,21,34,3,5,Medium,No,No,"Gym, Clubhouse, Garden, Playground",South,Broker,Under_Construction
100028,Delhi,Dwarka,Locality_265,Villa,3,962,153.68,0.16,2003,Unfurnished,0,25,22,10,5,Low,No,No,"Playground, Pool, Garden, Clubhouse, Gym",East,Builder,Under_Construction
100029,Tamil Nadu,Chennai,Locality_469,Apartment,5,3179,86.84,0.03,2017,Semi-furnished,6,25,8,7,2,Low,No,No,"Garden, Pool",East,Owner,Under_Construction
100030,Odisha,Cuttack,Locality_96,Villa,3,1609,294.05,0.18,1990,Semi-furnished,14,14,35,3,10,Medium,Yes,No,"Clubhouse, Playground",East,Builder,Ready_to_Move
100031,Kerala,Trivandrum,Locality_102,Independent House,4,2580,78.77,0.03,2020,Unfurnished,21,1,5,3,7,Low,Yes,Yes,Clubhouse,East,Builder,Under_Construction
100032,Uttarakhand,Dehradun,Locality_468,Villa,2,4361,424.05,0.1,2007,Semi-furnished,0,2,18,3,3,High,Yes,Yes,Clubhouse,North,Owner,Under_Construction
100033,Madhya Pradesh,Indore,Locality_239,Villa,2,4129,297.85,0.07,2016,Unfurnished,5,11,9,8,9,Medium,No,Yes,"Clubhouse, Garden, Gym, Pool",West,Owner,Ready_to_Move
100034,Rajasthan,Jodhpur,Locality_314,Independent House,4,3216,170.52,0.05,1991,Semi-furnished,27,2,34,4,4,Low,No,Yes,Garden,North,Broker,Ready_to_Move
