ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
240001,Maharashtra,Nagpur,Locality_338,Independent House,4,4245,387.74,0.09,2000,Semi-furnished,14,13,25,5,8,Medium,No,Yes,"Clubhouse, Gym, Playground, Garden, Pool",West,Owner,Under_Construction
240002,Uttarakhand,Haridwar,Locality_151,Independent House,2,2852,239.84,0.08,2004,Furnished,2,3,21,5,9,High,Yes,No,Clubhouse,South,Builder,Under_Construction
240003,Assam,Guwahati,Locality_115,Villa,3,3766,492.42,0.13,2017,Furnished,26,11,8,10,2,High,No,Yes,"Gym, Pool",West,Owner,Ready_to_Move
240004,Madhya Pradesh,Bhopal,Locality_366,Villa,4,3559,201.8,0.06,2005,Semi-furnished,1,18,20,9,8,High,Yes,Yes,"Garden, Pool, Clubhouse, Playground, Gym",South,Broker,Under_Construction
240005,Andhra Pradesh,Vishakhapatnam,Locality_338,Apartment,5,1377,289.63,0.21,1998,Unfurnished,20,16,27,5,3,High,Yes,No,"Gym, Pool, Clubhouse",North,Builder,Under_Construction
240006,Andhra Pradesh,Vishakhapatnam,Locality_76,Independent House,5,2366,287.04,0.12,2019,Unfurnished,14,11,6,6,10,Medium,No,No,"Playground, Pool",East,Broker,Ready_to_Move
240007,Andhra Pradesh,Vishakhapatnam,Locality_74,Villa,4,2684,254.52,0.09,1992,Furnished,6,23,33,8,8,Low,Yes,No,"Clubhouse, Pool",South,Broker,Under_Construction
240008,Chhattisgarh,Raipur,Locality_27,Independent House,3,1594,76.98,0.05,2007,Unfurnished,13,13,18,5,1,High,No,Yes,"Garden, Clubhouse, Pool, Playground, Gym",West,Broker,Under_Construction
240009,Gujarat,Ahmedabad,Locality_117,Independent House,2,1752,325.42,0.19,2004,Unfurnished,2,29,21,9,5,Medium,Yes,No,"Pool, Clubhouse, Gym, Garden, Playground",North,Broker,Ready_to_Move
240010,West Bengal,Kolkata,Locality_359,Independent House,1,3459,256.2,0.07,2017,Furnished,15,13,8,9,10,Low,Yes,No,"Garden, Playground",North,Builder,Ready_to_Move
240011,West Bengal,Kolkata,Locality_451,Villa,2,3258,255.98,0.08,1998,Semi-furnished,8,8,27,7,9,High,No,Yes,"Playground, Gym, Pool, Garden, Clubhouse",South,Owner,Under_Construction
240012,Telangana,Hyderabad,Locality_228,Apartment,1,993,205.22,0.21,1997,Unfurnished,15,2,28,9,2,Medium,Yes,Yes,"Pool, Playground",West,Owner,Under_Construction
240013,West Bengal,Durgapur,Locality_129,Independent House,3,1226,34.94,0.03,2020,Unfurnished,4,10,5,10,3,Medium,Yes,No,"Clubhouse, Gym",West,Builder,Under_Construction
240014,Rajasthan,Jodhpur,Locality_166,Independent House,1,3682,86.73,0.02,2008,Furnished,14,22,17,7,4,High,Yes,No,"Gym, Playground",North,Builder,Under_Construction
240015,Odisha,Cuttack,Locality_283,Apartment,3,4247,353.18,0.08,2014,Furnished,3,8,11,6,6,Low,No,Yes,Playground,East,Broker,Under_Construction
240016,Andhra Pradesh,Vijayawada,Locality_497,Villa,2,2957,164.03,0.06,2017,Semi-furnished,6,27,8,7,8,Medium,No,No,"Clubhouse, Gym, Garden, Playground",East,Broker,Under_Construction
240017,Punjab,Amritsar,Locality_404,Independent House,1,1455,373.27,0.26,1997,Unfurnished,29,24,28,6,5,Medium,Yes,No,"Gym, Clubhouse, Pool, Garden",South,Builder,Ready_to_Move
240018,Madhya Pradesh,Indore,Locality_241,Apartment,5,2442,329.79,0.14,2012,Furnished,20,14,13,5,1,High,Yes,Yes,"Playground, Clubhouse, Gym, Garden, Pool",North,Builder,Ready_to_Move
240019,Telangana,Hyderabad,Locality_249,Apartment,5,3259,250.15,0.08,2011,Unfurnished,18,24,14,4,10,Low,No,No,"Playground, Pool, Gym",South,Builder,Ready_to_Move
240020,Haryana,Gurgaon,Locality_51,Villa,4,1924,33.13,0.02,2019,Unfurnished,12,13,6,5,7,Medium,No,Yes,"Clubhouse, Gym, Garden, Playground",East,Builder,Under_Construction
240021,Jharkhand,Ranchi,Locality_194,Independent House,1,2984,34.99,0.01,2002,Unfurnished,2,8,23,10,8,Low,Yes,No,"Garden, Gym",South,Builder,Ready_to_Move
240022,Punjab,Amritsar,Locality_366,Independent House,2,3398,136.97,0.04,1993,Unfurnished,24,5,32,5,7,Low,Yes,No,"Playground, Gym, Pool",East,Broker,Under_Construction
240023,Uttarakhand,Dehradun,Locality_450,Apartment,1,4036,232.2,0.06,2009,Unfurnished,19,17,16,10,6,Medium,Yes,Yes,"Playground, Garden, Pool, Clubhouse, Gym",South,Owner,Ready_to_Move
240024,West Bengal,Kolkata,Locality_81,Villa,2,3526,315.47,0.09,2003,Semi-furnished,22,24,22,7,3,Low,Yes,Yes,"Playground, Pool, Clubhouse, Garden, Gym",West,Owner,Under_Construction
240025,Tamil Nadu,Coimbatore,Locality_143,Apartment,3,1404,372.98,0.27,2007,Semi-furnished,28,2,18,1,10,Medium,No,No,"Pool, Garden, Clubhouse",East,Builder,Under_Construction
240026,Andhra Pradesh,Vijayawada,Locality_386,Villa,1,3520,145.63,0.04,1997,Semi-furnished,20,22,28,8,9,Medium,Yes,No,"Pool, Clubhouse, Playground, Gym, Garden",West,Builder,Ready_to_Move
240027,West Bengal,Durgapur,Locality_69,Villa,1,973,261.7,0.27,2004,Semi-furnished,18,1,21,7,10,High,Yes,Yes,"Gym, Pool, Clubhouse",East,Builder,Ready_to_Move
240028,Karnataka,Mysore,Locality_430,Villa,1,3501,215.64,0.06,1993,Semi-furnished,7,8,32,7,1,Medium,Yes,No,"Clubhouse, Pool, Gym, Garden",East,Owner,Ready_to_Move
240029,Odisha,Cuttack,Locality_328,Apartment,1,4686,441.61,0.09,2006,Semi-furnished,2,24,19,6,7,Low,Yes,No,"Garden, Playground",North,Owner,Ready_to_Move
240030,Kerala,Kochi,Locality_327,Villa,2,910,411.96,0.45,2010,Unfurnished,8,5,15,9,2,High,Yes,Yes,"Garden, Gym, Pool",North,Builder,Under_Construction
240031,Jharkhand,Jamshedpur,Locality_39,Independent House,2,1040,281.63,0.27,2013,Semi-furnished,15,13,12,8,3,High,Yes,Yes,Gym,West,Builder,Ready_to_Move
240032,Odisha,Cuttack,Locality_100,Apartment,1,1272,298.48,0.23,1990,Furnished,22,21,35,10,9,Low,Yes,Yes,"Clubhouse, Gym, Playground, Pool, Garden",West,Builder,Under_Construction
240033,Maharashtra,Mumbai,Locality_242,Independent House,2,674,136.47,0.2,2021,Semi-furnished,30,19,4,3,2,High,No,Yes,"Playground, Pool",West,Broker,Under_Construction
240034,Tamil Nadu,Chennai,Locality_10,Villa,1,2965,64.79,0.02,2014,Unfurnished,9,3,11,1,10,Low,No,No,"Garden, Gym, Pool",East,Builder,Under_Construction
240035,Haryana,Gurgaon,Locality_461,Independent House,4,3559,234.33,0.07,1999,Semi-furnished,15,20,26,2,2,High,Yes,No,"Garden, Clubhouse, Gym, Pool",South,Builder,Ready_to_Move
240036,Chhattisgarh,Bilaspur,Locality_79,Apartment,5,971,398.29,0.41,2015,Semi-furnished,22,13,10,3,9,Low,Yes,No,"Pool, Garden",West,Owner,Ready_to_Move
240037,Tamil Nadu,Chennai,Locality_290,Independent House,1,1956,250.04,0.13,2002,Furnished,9,1,23,9,7,Low,Yes,Yes,"Pool, Gym",North,Builder,Under_Construction
