ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
180001,Tamil Nadu,Coimbatore,Locality_316,Apartment,2,2644,419.1,0.16,1996,Unfurnished,5,19,29,4,7,Medium,Yes,Yes,"Gym, Playground, Pool, Garden, Clubhouse",North,Builder,Ready_to_Move
180002,Andhra Pradesh,Vishakhapatnam,Locality_122,Apartment,1,2431,41.54,0.02,2007,Semi-furnished,11,21,18,6,3,Medium,Yes,No,"Garden, Clubhouse, Pool, Playground",West,Broker,Under_Construction
180003,Chhattisgarh,Bilaspur,Locality_475,Independent House,2,3913,95.13,0.02,2014,Furnished,22,10,11,1,1,High,No,No,"Gym, Pool, Playground, Garden",South,Builder,Ready_to_Move
180004,Bihar,Patna,Locality_284,Independent House,4,2821,126.4,0.04,1991,Furnished,29,7,34,10,8,Medium,Yes,No,"Gym, Clubhouse",North,Broker,Under_Construction
180005,Karnataka,Mysore,Locality_17,Independent House,5,3242,74.13,0.02,2019,Furnished,20,11,6,4,5,Low,No,Yes,"Garden, Clubhouse, Gym, Pool, Playground",South,Owner,Under_Construction
180006,Odisha,Cuttack,Locality_66,Apartment,5,2662,59.94,0.02,1994,Furnished,28,17,31,3,9,High,Yes,No,"Gym, Pool",South,Broker,Under_Construction
180007,Karnataka,Bangalore,Locality_159,Independent House,4,1682,64.27,0.04,1992,Furnished,5,21,33,3,8,Low,Yes,No,"Gym, Playground, Pool, Clubhouse, Garden",East,Broker,Under_Construction
180008,Odisha,Bhubaneswar,Locality_390,Villa,2,4432,114.55,0.03,1995,Semi-furnished,24,12,30,5,7,Medium,Yes,No,"Playground, Clubhouse, Gym, Pool, Garden",North,Broker,Under_Construction
180009,West Bengal,Kolkata,Locality_161,Villa,4,4327,481.74,0.11,2005,Furnished,0,17,20,1,3,High,Yes,Yes,"Pool, Gym",West,Builder,Under_Construction
180010,Tamil Nadu,Coimbatore,Locality_117,Villa,4,1819,250.81,0.14,1997,Unfurnished,20,17,28,4,3,Low,No,Yes,"Gym, Playground, Pool",North,Broker,Under_Construction
180011,Telangana,Warangal,Locality_383,Villa,1,4278,458.62,0.11,1994,Unfurnished,25,12,31,8,4,Low,No,No,Garden,West,Owner,Under_Construction
180012,Rajasthan,Jaipur,Locality_121,Apartment,1,642,370.21,0.58,1994,Unfurnished,8,11,31,2,8,Low,No,Yes,Pool,West,Owner,Under_Construction
180013,Haryana,Gurgaon,Locality_51,Apartment,4,738,376.24,0.51,2013,Semi-furnished,2,1,12,4,9,Medium,Yes,No,"Playground, Clubhouse",East,Builder,Under_Construction
180014,West Bengal,Durgapur,Locality_304,Independent House,3,2220,94.92,0.04,2010,Semi-furnished,3,12,15,10,9,Medium,Yes,No,Playground,East,Broker,Under_Construction
180015,Maharashtra,Nagpur,Locality_113,Independent House,3,2969,231.09,0.08,2013,Semi-furnished,11,9,12,8,4,High,Yes,No,Gym,West,Broker,Ready_to_Move
